tablename,policyname,cmd,roles,qual,with_check
manufacturer_stockists,manufacturer_user can update own stockists,UPDATE,{authenticated},"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_stockists.manufacturer_id) AND (mu.status = 'active'::text))))","(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_stockists.manufacturer_id) AND (mu.status = 'active'::text))))"
manufacturer_users,users can read own membership,SELECT,{authenticated},(auth_user_id = auth.uid()),null
parser_field_evidence,anon can read parser field evidence,SELECT,{anon},true,null
parser_field_evidence,authenticated can read parser field evidence,SELECT,{authenticated},true,null
pipeline_jobs,service role full access,ALL,{service_role},true,true
pipeline_jobs,authenticated can read own manufacturer jobs,SELECT,{authenticated},true,null
publish_batch_items,buildquote staff can delete publish batch items,DELETE,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
publish_batch_items,buildquote staff can insert publish batch items,INSERT,{authenticated},null,"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
publish_batch_items,manufacturer_user can insert own publish batch items,INSERT,{authenticated},null,"((EXISTS ( SELECT 1
   FROM (publish_batches pb
     JOIN manufacturer_users mu ON ((mu.manufacturer_id = pb.manufacturer_id)))
  WHERE ((pb.id = publish_batch_items.publish_batch_id) AND (mu.auth_user_id = auth.uid()) AND (mu.status = 'active'::text)))) AND (status = 'pending'::text) AND (production_table IS NULL) AND (production_id IS NULL))"
publish_batch_items,buildquote staff can read all publish batch items,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
publish_batch_items,manufacturer_user can read own publish batch items,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM (publish_batches pb
     JOIN manufacturer_users mu ON ((mu.manufacturer_id = pb.manufacturer_id)))
  WHERE ((pb.id = publish_batch_items.publish_batch_id) AND (mu.auth_user_id = auth.uid()) AND (mu.status = 'active'::text))))",null
publish_batch_items,buildquote staff can update publish batch items,UPDATE,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))","(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
publish_batches,buildquote staff can delete publish batches,DELETE,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
publish_batches,buildquote staff can insert publish batches,INSERT,{authenticated},null,"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
publish_batches,manufacturer_user can submit own publish batches,INSERT,{authenticated},null,"((EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = publish_batches.manufacturer_id) AND (mu.status = 'active'::text)))) AND (status = 'submitted'::text) AND (approved_at IS NULL) AND (published_at IS NULL))"
publish_batches,buildquote staff can read all publish batches,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
publish_batches,manufacturer_user can read own publish batches,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = publish_batches.manufacturer_id) AND (mu.status = 'active'::text))))",null
publish_batches,buildquote staff can update publish batches,UPDATE,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))","(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
source_documents,buildquote_admin can insert source_documents,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM data_studio_user_profiles p
  WHERE ((p.auth_user_id = auth.uid()) AND (p.global_role = 'buildquote_admin'::text))))"
source_documents,manufacturer_user can insert own source_documents,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = source_documents.manufacturer_id) AND (mu.status = 'active'::text))))"
source_documents,anon can read source documents,SELECT,{anon},true,null
source_documents,authenticated can read source documents,SELECT,{authenticated},true,null
staged_components,authenticated can insert staged components,INSERT,{authenticated},null,true
staged_components,anon can read staged components,SELECT,{anon},true,null
staged_components,authenticated can read staged components,SELECT,{authenticated},true,null
staged_components,authenticated can update staged components,UPDATE,{authenticated},true,true
staged_system_colours,authenticated can insert staged system colours,INSERT,{authenticated},null,true
staged_system_colours,anon can read staged system colours,SELECT,{anon},true,null
staged_system_colours,authenticated can read staged system colours,SELECT,{authenticated},true,null
staged_system_colours,authenticated can update staged system colours,UPDATE,{authenticated},true,true
staged_system_components,authenticated can insert staged system components,INSERT,{authenticated},null,true
staged_system_components,anon can read staged system components,SELECT,{anon},true,null
staged_system_components,authenticated can read staged system components,SELECT,{authenticated},true,null
staged_system_profiles,authenticated can insert staged system profiles,INSERT,{authenticated},null,true
staged_system_profiles,anon can read staged system profiles,SELECT,{anon},true,null
staged_system_profiles,authenticated can read staged system profiles,SELECT,{authenticated},true,null
staged_system_profiles,authenticated can update staged system profiles,UPDATE,{authenticated},true,true
staged_systems,buildquote_admin can insert staged_systems,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM data_studio_user_profiles p
  WHERE ((p.auth_user_id = auth.uid()) AND (p.global_role = 'buildquote_admin'::text))))"
staged_systems,manufacturer_user can insert own staged_systems,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = staged_systems.manufacturer_id) AND (mu.status = 'active'::text))))"
staged_systems,anon can read staged systems,SELECT,{anon},true,null
staged_systems,authenticated can read staged systems,SELECT,{authenticated},true,null
staged_systems,authenticated can update staged systems verification,UPDATE,{authenticated},true,true
widget_quote_requests,admin read all quote requests,SELECT,{public},"(EXISTS ( SELECT 1
   FROM data_studio_user_profiles
  WHERE ((data_studio_user_profiles.auth_user_id = auth.uid()) AND (data_studio_user_profiles.global_role = 'buildquote_admin'::text))))",null
widget_quote_requests,manufacturer read own quote requests,SELECT,{public},"(manufacturer_id IN ( SELECT manufacturer_users.manufacturer_id
   FROM manufacturer_users
  WHERE ((manufacturer_users.auth_user_id = auth.uid()) AND (manufacturer_users.status = 'active'::text))))",null
widget_quote_requests,manufacturer update own quote request status,UPDATE,{public},"(manufacturer_id IN ( SELECT manufacturer_users.manufacturer_id
   FROM manufacturer_users
  WHERE ((manufacturer_users.auth_user_id = auth.uid()) AND (manufacturer_users.status = 'active'::text))))",null
