table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
manufacturer_users,2,manufacturer_id,uuid,uuid,NO,null
manufacturer_users,3,auth_user_id,uuid,uuid,YES,null
manufacturer_users,4,email,text,text,NO,null
manufacturer_users,5,role,text,text,NO,'manufacturer_reviewer'::text
manufacturer_users,6,status,text,text,NO,'invited'::text
manufacturer_users,7,created_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_users,8,user_profile_id,uuid,uuid,YES,null
manufacturer_users,9,invited_by,uuid,uuid,YES,null
manufacturer_users,10,invited_at,timestamp with time zone,timestamptz,YES,now()
manufacturer_users,11,accepted_at,timestamp with time zone,timestamptz,YES,null
manufacturer_users,12,last_active_at,timestamp with time zone,timestamptz,YES,null
manufacturer_users,13,updated_at,timestamp with time zone,timestamptz,NO,now()
parser_field_evidence,1,id,uuid,uuid,NO,gen_random_uuid()
parser_field_evidence,2,extraction_run_id,uuid,uuid,NO,null
parser_field_evidence,3,entity_type,text,text,NO,null
parser_field_evidence,4,entity_id,uuid,uuid,NO,null
parser_field_evidence,5,field_name,text,text,NO,null
parser_field_evidence,6,extracted_value,text,text,YES,null
parser_field_evidence,7,source_document_id,uuid,uuid,YES,null
parser_field_evidence,8,source_page_number,integer,int4,YES,null
parser_field_evidence,9,source_chunk_id,uuid,uuid,YES,null
parser_field_evidence,10,confidence,numeric,numeric,YES,null
parser_field_evidence,11,is_uncertain,boolean,bool,NO,false
parser_field_evidence,12,parser_note,text,text,YES,null
parser_field_evidence,13,created_at,timestamp with time zone,timestamptz,NO,now()
pipeline_jobs,1,id,uuid,uuid,NO,gen_random_uuid()
pipeline_jobs,2,manufacturer_id,uuid,uuid,NO,null
pipeline_jobs,3,document_id,uuid,uuid,YES,null
pipeline_jobs,4,job_type,text,text,NO,null
pipeline_jobs,5,status,text,text,NO,'pending'::text
pipeline_jobs,6,payload,jsonb,jsonb,NO,'{}'::jsonb
pipeline_jobs,7,result,jsonb,jsonb,YES,null
pipeline_jobs,8,error_message,text,text,YES,null
pipeline_jobs,9,log_lines,ARRAY,_text,YES,'{}'::text[]
pipeline_jobs,10,progress,jsonb,jsonb,YES,null
pipeline_jobs,11,created_at,timestamp with time zone,timestamptz,NO,now()
pipeline_jobs,12,started_at,timestamp with time zone,timestamptz,YES,null
pipeline_jobs,13,completed_at,timestamp with time zone,timestamptz,YES,null
pipeline_jobs,14,worker_id,text,text,YES,null
publish_batch_items,1,id,uuid,uuid,NO,gen_random_uuid()
publish_batch_items,2,publish_batch_id,uuid,uuid,NO,null
publish_batch_items,3,entity_type,text,text,NO,null
publish_batch_items,4,entity_id,uuid,uuid,NO,null
publish_batch_items,5,production_table,text,text,YES,null
publish_batch_items,6,production_id,uuid,uuid,YES,null
publish_batch_items,7,status,text,text,NO,'pending'::text
publish_batch_items,8,error_message,text,text,YES,null
publish_batch_items,9,created_at,timestamp with time zone,timestamptz,NO,now()
publish_batch_items,10,change_type,text,text,NO,'new'::text
publish_batches,1,id,uuid,uuid,NO,gen_random_uuid()
publish_batches,2,manufacturer_id,uuid,uuid,YES,null
publish_batches,3,status,text,text,NO,'draft'::text
publish_batches,4,export_type,text,text,NO,'csv'::text
publish_batches,5,production_project_ref,text,text,YES,null
publish_batches,6,created_by,uuid,uuid,YES,null
publish_batches,7,created_at,timestamp with time zone,timestamptz,NO,now()
